County Name,Year,PCPI
Alameda County,2011,50432.0
Alameda County,2012,52296.0
Alameda County,2013,54131.0
Alameda County,2014,57009.0
Alameda County,2015,61618.0
Alameda County,2016,65215.0
Alameda County,2017,69258.0
Alameda County,2018,74193.0
Alameda County,2019,79984.0
Alameda County,2020,88190.0
Alameda County,2021,98370.0
Alameda County,2022,100836.0
Alpine County,2011,54040.0
Alpine County,2012,56293.0
Alpine County,2013,54549.0
Alpine County,2014,61368.0
Alpine County,2015,63924.0
Alpine County,2016,70376.0
Alpine County,2017,68653.0
Alpine County,2018,74453.0
Alpine County,2019,79307.0
Alpine County,2020,74115.0
Alpine County,2021,72843.0
Alpine County,2022,67603.0
Amador County,2011,34847.0
Amador County,2012,35633.0
Amador County,2013,36375.0
Amador County,2014,37936.0
Amador County,2015,39764.0
Amador County,2016,40310.0
Amador County,2017,41237.0
Amador County,2018,41827.0
Amador County,2019,43895.0
Amador County,2020,47386.0
Amador County,2021,49945.0
Amador County,2022,47792.0
Butte County,2011,33669.0
Butte County,2012,34536.0
Butte County,2013,35368.0
Butte County,2014,36603.0
Butte County,2015,39352.0
Butte County,2016,40662.0
Butte County,2017,41581.0
Butte County,2018,42630.0
Butte County,2019,45907.0
Butte County,2020,51323.0
Butte County,2021,55937.0
Butte County,2022,53962.0
Calaveras County,2011,37516.0
Calaveras County,2012,37399.0
Calaveras County,2013,37734.0
Calaveras County,2014,39733.0
Calaveras County,2015,42659.0
Calaveras County,2016,44010.0
Calaveras County,2017,45833.0
Calaveras County,2018,47296.0
Calaveras County,2019,50094.0
Calaveras County,2020,54125.0
Calaveras County,2021,56645.0
Calaveras County,2022,55582.0
Colusa County,2011,40313.0
Colusa County,2012,36669.0
Colusa County,2013,39501.0
Colusa County,2014,34844.0
Colusa County,2015,39272.0
Colusa County,2016,41196.0
Colusa County,2017,41189.0
Colusa County,2018,45624.0
Colusa County,2019,44701.0
Colusa County,2020,56163.0
Colusa County,2021,59056.0
Colusa County,2022,55572.0
Contra Costa County,2011,57227.0
Contra Costa County,2012,61059.0
Contra Costa County,2013,60387.0
Contra Costa County,2014,62381.0
Contra Costa County,2015,67056.0
Contra Costa County,2016,70261.0
Contra Costa County,2017,74770.0
Contra Costa County,2018,78504.0
Contra Costa County,2019,80347.0
Contra Costa County,2020,87839.0
Contra Costa County,2021,94437.0
Contra Costa County,2022,97061.0
Del Norte County,2011,28194.0
Del Norte County,2012,28596.0
Del Norte County,2013,29550.0
Del Norte County,2014,31479.0
Del Norte County,2015,33072.0
Del Norte County,2016,34105.0
Del Norte County,2017,34350.0
Del Norte County,2018,35090.0
Del Norte County,2019,36562.0
Del Norte County,2020,41481.0
Del Norte County,2021,44626.0
Del Norte County,2022,43820.0
El Dorado County,2011,50362.0
El Dorado County,2012,52415.0
El Dorado County,2013,53830.0
El Dorado County,2014,56210.0
El Dorado County,2015,58818.0
El Dorado County,2016,62076.0
El Dorado County,2017,63328.0
El Dorado County,2018,66033.0
El Dorado County,2019,68999.0
El Dorado County,2020,74030.0
El Dorado County,2021,79332.0
El Dorado County,2022,79567.0
Fresno County,2011,32669.0
Fresno County,2012,33288.0
Fresno County,2013,34426.0
Fresno County,2014,36385.0
Fresno County,2015,38296.0
Fresno County,2016,39072.0
Fresno County,2017,39600.0
Fresno County,2018,40606.0
Fresno County,2019,42639.0
Fresno County,2020,48200.0
Fresno County,2021,51977.0
Fresno County,2022,50440.0
Glenn County,2011,34053.0
Glenn County,2012,34953.0
Glenn County,2013,37911.0
Glenn County,2014,36446.0
Glenn County,2015,38924.0
Glenn County,2016,40126.0
Glenn County,2017,40428.0
Glenn County,2018,42536.0
Glenn County,2019,43100.0
Glenn County,2020,49391.0
Glenn County,2021,52296.0
Glenn County,2022,51112.0
Humboldt County,2011,35892.0
Humboldt County,2012,36182.0
Humboldt County,2013,36739.0
Humboldt County,2014,38324.0
Humboldt County,2015,40594.0
Humboldt County,2016,41584.0
Humboldt County,2017,42818.0
Humboldt County,2018,43823.0
Humboldt County,2019,45720.0
Humboldt County,2020,50120.0
Humboldt County,2021,53997.0
Humboldt County,2022,53540.0
Imperial County,2011,31225.0
Imperial County,2012,31428.0
Imperial County,2013,32627.0
Imperial County,2014,33758.0
Imperial County,2015,36121.0
Imperial County,2016,35252.0
Imperial County,2017,35585.0
Imperial County,2018,35217.0
Imperial County,2019,37669.0
Imperial County,2020,45909.0
Imperial County,2021,48487.0
Imperial County,2022,45622.0
Inyo County,2011,43618.0
Inyo County,2012,45319.0
Inyo County,2013,45780.0
Inyo County,2014,48579.0
Inyo County,2015,50961.0
Inyo County,2016,54731.0
Inyo County,2017,56308.0
Inyo County,2018,54870.0
Inyo County,2019,57726.0
Inyo County,2020,59834.0
Inyo County,2021,61080.0
