Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population
2011,Alameda,ICD-9,75103.0,11377.0,15.1,50432.0,1530893
2011,Alpine,ICD-9,13.0,1.0,7.7,54040.0,1093
2011,Amador,ICD-9,2657.0,345.0,13.0,34847.0,37539
2011,Butte,ICD-9,20422.0,3198.0,15.7,33669.0,219983
2011,Calaveras,ICD-9,3253.0,392.0,12.1,37516.0,45159
2011,Colusa,ICD-9,1113.0,132.0,11.9,40313.0,21315
2011,Contra Costa,ICD-9,55458.0,7580.0,13.7,57227.0,1065361
2011,Del Norte,ICD-9,1455.0,206.0,14.2,28194.0,28447
2011,El Dorado,ICD-9,9890.0,1305.0,13.2,50362.0,180963
2011,Fresno,ICD-9,49558.0,6865.0,13.9,32669.0,939251
2011,Glenn,ICD-9,1745.0,209.0,12.0,34053.0,28131
2011,Humboldt,ICD-9,7053.0,686.0,9.7,35892.0,135257
2011,Imperial,ICD-9,9140.0,1194.0,13.1,31225.0,175731
2011,Inyo,ICD-9,794.0,57.0,7.2,43618.0,18385
2011,Kern,ICD-9,46535.0,6514.0,14.0,32141.0,848651
2011,Kings,ICD-9,7388.0,1011.0,13.7,29308.0,151779
2011,Lake,ICD-9,5843.0,893.0,15.3,31444.0,64257
2011,Lassen,ICD-9,1151.0,108.0,9.4,28218.0,34235
2011,Los Angeles,ICD-9,534319.0,83066.0,15.5,45439.0,-8573044
2011,Madera,ICD-9,7137.0,888.0,12.4,29341.0,151685
2011,Marin,ICD-9,12210.0,1414.0,11.6,89206.0,255380
2011,Mariposa,ICD-9,1160.0,144.0,12.4,36741.0,18199
2011,Mendocino,ICD-9,5360.0,653.0,12.2,37658.0,87335
2011,Merced,ICD-9,12482.0,1754.0,14.1,29817.0,259249
2011,Modoc,ICD-9,405.0,38.0,9.4,36359.0,9513
2011,Mono,ICD-9,245.0,17.0,6.9,41168.0,14424
2011,Monterey,ICD-9,18178.0,1973.0,10.9,41452.0,420379
2011,Napa,ICD-9,8444.0,1251.0,14.8,48198.0,137668
2011,Nevada,ICD-9,6098.0,782.0,12.8,47210.0,98716
2011,Orange,ICD-9,137953.0,18428.0,13.4,51265.0,3050199
2011,Placer,ICD-9,18464.0,2258.0,12.2,49609.0,356323
2011,Plumas,ICD-9,1098.0,151.0,13.8,39560.0,19720
2011,Riverside,ICD-9,110802.0,14936.0,13.5,32420.0,2233840
2011,Sacramento,ICD-9,76052.0,10610.0,14.0,39655.0,1433712
2011,San Benito,ICD-9,2806.0,375.0,13.4,36937.0,56094
2011,San Bernardino,ICD-9,105064.0,14941.0,14.2,30773.0,2060596
2011,San Diego,ICD-9,157874.0,21258.0,13.5,46113.0,3137236
2011,San Joaquin,ICD-9,35737.0,4914.0,13.8,32947.0,694265
2011,San Luis Obispo,ICD-9,14239.0,1603.0,11.3,42219.0,271056
2011,San Mateo,ICD-9,29726.0,3701.0,12.5,78684.0,728945
2011,Santa Barbara,ICD-9,18297.0,1963.0,10.7,47840.0,425404
2011,Santa Clara,ICD-9,68595.0,9076.0,13.2,65684.0,1811891
2011,Santa Cruz,ICD-9,11076.0,1222.0,11.0,49290.0,264927
2011,Shasta,ICD-9,15075.0,1739.0,11.5,34982.0,177613
2011,Sierra,ICD-9,182.0,26.0,14.3,33655.0,3100
2011,Siskiyou,ICD-9,2376.0,201.0,8.5,33248.0,44622
2011,Solano,ICD-9,20548.0,2850.0,13.9,38635.0,416325
2011,Sonoma,ICD-9,23404.0,2757.0,11.8,44462.0,487231
2011,Stanislaus,ICD-9,30837.0,4278.0,13.9,32860.0,517515
2011,Sutter,ICD-9,5851.0,720.0,12.3,35304.0,94466
2011,Tehama,ICD-9,3509.0,421.0,12.0,29964.0,63337
2011,Trinity,ICD-9,1038.0,154.0,14.8,27311.0,13685
2011,Tulare,ICD-9,23641.0,3258.0,13.8,31644.0,446709
2011,Tuolumne,ICD-9,4131.0,521.0,12.6,35841.0,54808
2011,Ventura,ICD-9,42145.0,5195.0,12.3,47868.0,829908
2011,Yolo,ICD-9,7620.0,904.0,11.9,42841.0,201931
2011,Yuba,ICD-9,4902.0,724.0,14.8,32320.0,72480
2012,Alameda,ICD-9,72083.0,10448.0,14.5,52296.0,1553729
2012,Alpine,ICD-9,10.0,0.0,0.0,56293.0,1111
2012,Amador,ICD-9,2775.0,411.0,14.8,35633.0,37105
2012,Butte,ICD-9,20895.0,3279.0,15.7,34536.0,220877
2012,Calaveras,ICD-9,3218.0,432.0,13.4,37399.0,44816
2012,Colusa,ICD-9,1125.0,179.0,15.9,36669.0,21274
2012,Contra Costa,ICD-9,55974.0,7733.0,13.8,61059.0,1077439
2012,Del Norte,ICD-9,1411.0,168.0,11.9,28596.0,28195
2012,El Dorado,ICD-9,9993.0,1350.0,13.5,52415.0,180613
2012,Fresno,ICD-9,48216.0,6769.0,14.0,33288.0,944779
2012,Glenn,ICD-9,1772.0,245.0,13.8,34953.0,27836
2012,Humboldt,ICD-9,7180.0,743.0,10.3,36182.0,134597
2012,Imperial,ICD-9,8957.0,1339.0,14.9,31428.0,176487
2012,Inyo,ICD-9,787.0,61.0,7.8,45319.0,18344
2012,Kern,ICD-9,43650.0,5926.0,13.6,33731.0,854392
2012,Kings,ICD-9,6903.0,911.0,13.2,28626.0,150884
2012,Lake,ICD-9,5559.0,800.0,14.4,32005.0,63966
2012,Lassen,ICD-9,1081.0,138.0,12.8,28086.0,33622
2012,Los Angeles,ICD-9,517164.0,79235.0,15.3,48075.0,-8515350
2012,Madera,ICD-9,6823.0,806.0,11.8,30904.0,151520
2012,Marin,ICD-9,11917.0,1354.0,11.4,94993.0,256087
2012,Mariposa,ICD-9,1097.0,111.0,10.1,37665.0,17912
2012,Mendocino,ICD-9,5333.0,648.0,12.2,37262.0,87293
2012,Merced,ICD-9,11481.0,1635.0,14.2,30248.0,260776
2012,Modoc,ICD-9,413.0,46.0,11.1,36311.0,9358
2012,Mono,ICD-9,248.0,23.0,9.3,40329.0,14328
2012,Monterey,ICD-9,17916.0,1916.0,10.7,42873.0,424222
2012,Napa,ICD-9,8202.0,1153.0,14.1,52821.0,138504
2012,Nevada,ICD-9,5879.0,717.0,12.2,48696.0,98165
2012,Orange,ICD-9,137256.0,18165.0,13.2,54321.0,3078710
2012,Placer,ICD-9,18788.0,2238.0,11.9,52292.0,360269
2012,Plumas,ICD-9,870.0,100.0,11.5,39094.0,19380
2012,Riverside,ICD-9,110558.0,14965.0,13.5,32828.0,2260763
2012,Sacramento,ICD-9,74683.0,10124.0,13.6,40623.0,1444819
2012,San Benito,ICD-9,2595.0,314.0,12.1,37878.0,56704
2012,San Bernardino,ICD-9,104267.0,14826.0,14.2,31261.0,2073088
2012,San Diego,ICD-9,154878.0,20519.0,13.2,47700.0,3175148
2012,San Joaquin,ICD-9,34783.0,4833.0,13.9,33631.0,699444
2012,San Luis Obispo,ICD-9,13129.0,1416.0,10.8,43666.0,274174
2012,San Mateo,ICD-9,29701.0,3652.0,12.3,86408.0,739700
2012,Santa Barbara,ICD-9,18375.0,1956.0,10.6,49987.0,429635
2012,Santa Clara,ICD-9,67166.0,8898.0,13.2,71690.0,1837605
2012,Santa Cruz,ICD-9,11000.0,1236.0,11.2,51725.0,266391
2012,Shasta,ICD-9,13926.0,1615.0,11.6,35512.0,177908
2012,Sierra,ICD-9,127.0,18.0,14.2,35047.0,3068
2012,Siskiyou,ICD-9,2351.0,189.0,8.0,33571.0,44091
2012,Solano,ICD-9,20450.0,2812.0,13.8,38975.0,419645
2012,Sonoma,ICD-9,22853.0,2637.0,11.5,46251.0,489784
2012,Stanislaus,ICD-9,30191.0,4083.0,13.5,33794.0,520336
2012,Sutter,ICD-9,6078.0,766.0,12.6,34985.0,94153
2012,Tehama,ICD-9,3494.0,458.0,13.1,31293.0,63213
2012,Trinity,ICD-9,945.0,124.0,13.1,26857.0,13494
2012,Tulare,ICD-9,22013.0,2974.0,13.5,31434.0,449625
2012,Tuolumne,ICD-9,4012.0,503.0,12.5,36606.0,54201
2012,Ventura,ICD-9,40670.0,4831.0,11.9,49592.0,833287
2012,Yolo,ICD-9,7462.0,945.0,12.7,43527.0,204558
2012,Yuba,ICD-9,4898.0,685.0,14.0,32564.0,72770
2013,Alameda,ICD-9,67673.0,9761.0,14.4,54131.0,1579508
2013,Alpine,ICD-9,9.0,0.0,0.0,54549.0,1131
2013,Amador,ICD-9,2616.0,357.0,13.6,36375.0,36624
2013,Butte,ICD-9,21019.0,3383.0,16.1,35368.0,221649
2013,Calaveras,ICD-9,3160.0,418.0,13.2,37734.0,44658
2013,Colusa,ICD-9,1054.0,128.0,12.1,39501.0,21239
2013,Contra Costa,ICD-9,54166.0,7369.0,13.6,60387.0,1093253
2013,Del Norte,ICD-9,1424.0,193.0,13.6,29550.0,27821
2013,El Dorado,ICD-9,9982.0,1288.0,12.9,53830.0,181529
2013,Fresno,ICD-9,48385.0,6770.0,14.0,34426.0,951143
2013,Glenn,ICD-9,1695.0,238.0,14.0,37911.0,27784
2013,Humboldt,ICD-9,7185.0,754.0,10.5,36739.0,134447
2013,Imperial,ICD-9,8325.0,1189.0,14.3,32627.0,176301
2013,Inyo,ICD-9,722.0,34.0,4.7,45780.0,18348
2013,Kern,ICD-9,41048.0,5473.0,13.3,34301.0,862727
2013,Kings,ICD-9,6558.0,922.0,14.1,29642.0,150237
2013,Lake,ICD-9,5456.0,802.0,14.7,32632.0,63811
2013,Lassen,ICD-9,988.0,91.0,9.2,28498.0,32128
2013,Los Angeles,ICD-9,495144.0,73527.0,14.8,47541.0,-8459555
2013,Madera,ICD-9,6855.0,874.0,12.7,32072.0,151295
2013,Marin,ICD-9,11477.0,1220.0,10.6,95473.0,258440
2013,Mariposa,ICD-9,1016.0,106.0,10.4,38320.0,17840
2013,Mendocino,ICD-9,5355.0,612.0,11.4,37882.0,87070
2013,Merced,ICD-9,11581.0,1614.0,13.9,31492.0,261887
2013,Modoc,ICD-9,365.0,41.0,11.2,37643.0,9154
2013,Mono,ICD-9,249.0,15.0,6.0,41157.0,14064
2013,Monterey,ICD-9,17588.0,2002.0,11.4,44355.0,426163
2013,Napa,ICD-9,7829.0,1068.0,13.6,54298.0,139522
2013,Nevada,ICD-9,5831.0,774.0,13.3,49191.0,97969
2013,Orange,ICD-9,133419.0,17189.0,12.9,53545.0,3105262
2013,Placer,ICD-9,18470.0,2139.0,11.6,52942.0,365415
2013,Plumas,ICD-9,828.0,92.0,11.1,40346.0,18901
2013,Riverside,ICD-9,110940.0,14914.0,13.4,33565.0,2286087
2013,Sacramento,ICD-9,77051.0,10602.0,13.8,41581.0,1457283
2013,San Benito,ICD-9,2616.0,335.0,12.8,39293.0,57320
2013,San Bernardino,ICD-9,104088.0,14890.0,14.3,31889.0,2082101
2013,San Diego,ICD-9,152109.0,19775.0,13.0,48645.0,3210788
2013,San Joaquin,ICD-9,34379.0,4705.0,13.7,34791.0,701831
2013,San Luis Obispo,ICD-9,12778.0,1335.0,10.4,44771.0,275713
2013,San Mateo,ICD-9,29190.0,3583.0,12.3,85557.0,749131
2013,Santa Barbara,ICD-9,18594.0,1995.0,10.7,49091.0,434503
2013,Santa Clara,ICD-9,67810.0,8985.0,13.3,71593.0,1866050
2013,Santa Cruz,ICD-9,10453.0,1058.0,10.1,52252.0,268836
2013,Shasta,ICD-9,13737.0,1449.0,10.5,35799.0,178447
2013,Sierra,ICD-9,94.0,9.0,9.6,35366.0,3031
2013,Siskiyou,ICD-9,2459.0,249.0,10.1,34302.0,43550
2013,Solano,ICD-9,20395.0,2736.0,13.4,40025.0,423634
2013,Sonoma,ICD-9,22136.0,2515.0,11.4,47527.0,493870
2013,Stanislaus,ICD-9,29926.0,4109.0,13.7,34382.0,523313
2013,Sutter,ICD-9,6109.0,802.0,13.1,36468.0,94457
2013,Tehama,ICD-9,3460.0,445.0,12.9,31594.0,62878
2013,Trinity,ICD-9,931.0,125.0,13.4,26688.0,13427
2013,Tulare,ICD-9,20826.0,2686.0,12.9,32017.0,452259
2013,Tuolumne,ICD-9,4050.0,530.0,13.1,36116.0,53975
2013,Ventura,ICD-9,38847.0,4814.0,12.4,49787.0,837729
2013,Yolo,ICD-9,7225.0,904.0,12.5,44581.0,206267
2013,Yuba,ICD-9,4804.0,683.0,14.2,33459.0,73082
2014,Alameda,ICD-9,65219.0,9398.0,14.4,57009.0,1607638
2014,Alpine,ICD-9,11.0,0.0,0.0,61368.0,1083
2014,Amador,ICD-9,2599.0,319.0,12.3,37936.0,36734
2014,Butte,ICD-9,21081.0,3558.0,16.9,36603.0,223525
2014,Calaveras,ICD-9,2901.0,387.0,13.3,39733.0,44677
2014,Colusa,ICD-9,1039.0,144.0,13.9,34844.0,21156
2014,Contra Costa,ICD-9,52940.0,7257.0,13.7,62381.0,1108665
2014,Del Norte,ICD-9,1352.0,162.0,12.0,31479.0,27182
2014,El Dorado,ICD-9,9331.0,1102.0,11.8,56210.0,183157
2014,Fresno,ICD-9,46943.0,6283.0,13.4,36385.0,960072
2014,Glenn,ICD-9,1898.0,272.0,14.3,36446.0,27802
2014,Humboldt,ICD-9,7543.0,821.0,10.9,38324.0,134556
2014,Imperial,ICD-9,7519.0,1046.0,13.9,33758.0,177786
2014,Inyo,ICD-9,834.0,64.0,7.7,48579.0,18280
2014,Kern,ICD-9,40730.0,5474.0,13.4,36164.0,869837
2014,Kings,ICD-9,6126.0,761.0,12.4,32810.0,149373
2014,Lake,ICD-9,5053.0,771.0,15.3,34201.0,64056
2014,Lassen,ICD-9,1028.0,129.0,12.5,29488.0,31664
2014,Los Angeles,ICD-9,489218.0,72658.0,14.9,50052.0,-8413295
2014,Madera,ICD-9,6780.0,835.0,12.3,33801.0,153357
2014,Marin,ICD-9,10679.0,1167.0,10.9,102032.0,260403
2014,Mariposa,ICD-9,1089.0,147.0,13.5,40809.0,17745
2014,Mendocino,ICD-9,5164.0,590.0,11.4,40074.0,87247
2014,Merced,ICD-9,11433.0,1530.0,13.4,34240.0,264241
