Year,County,ICD Version,Total Admits (Consolidated),30-day Readmits (Consolidated),30-day Readmission Rate (Consolidated),PCPI,Population,Total Admits (Proportion),30-day Readmits (Proportion)
2011,Alameda,ICD-9,75103.0,11377.0,15.1,50432.0,1530893,0.04905829473385795,0.007431610177850444
2011,Alpine,ICD-9,13.0,1.0,7.7,54040.0,1093,0.011893870082342177,0.0009149130832570906
2011,Amador,ICD-9,2657.0,345.0,13.0,34847.0,37539,0.07077972242201444,0.009190441940382002
2011,Butte,ICD-9,20422.0,3198.0,15.7,33669.0,219983,0.09283444629812304,0.014537486987630863
2011,Calaveras,ICD-9,3253.0,392.0,12.1,37516.0,45159,0.07203436745720676,0.00868044022232556
2011,Colusa,ICD-9,1113.0,132.0,11.9,40313.0,21315,0.052216748768472904,0.006192821956368754
2011,Contra Costa,ICD-9,55458.0,7580.0,13.7,57227.0,1065361,0.05205559430089894,0.007114959154690288
2011,Del Norte,ICD-9,1455.0,206.0,14.2,28194.0,28447,0.05114774844447569,0.007241536893169754
2011,El Dorado,ICD-9,9890.0,1305.0,13.2,50362.0,180963,0.05465205594513796,0.0072114189088377184
2011,Fresno,ICD-9,49558.0,6865.0,13.9,32669.0,939251,0.05276331885725967,0.0073090153750169015
2011,Glenn,ICD-9,1745.0,209.0,12.0,34053.0,28131,0.06203121111940564,0.0074295261455333975
2011,Humboldt,ICD-9,7053.0,686.0,9.7,35892.0,135257,0.05214517548075146,0.0050718262271083935
2011,Imperial,ICD-9,9140.0,1194.0,13.1,31225.0,175731,0.052011312745047826,0.006794475647438414
2011,Inyo,ICD-9,794.0,57.0,7.2,43618.0,18385,0.043187381017133535,0.003100353549088931
2011,Kern,ICD-9,46535.0,6514.0,14.0,32141.0,848651,0.054834083739959065,0.007675711216978475
2011,Kings,ICD-9,7388.0,1011.0,13.7,29308.0,151779,0.04867603555169028,0.006661000533670666
2011,Lake,ICD-9,5843.0,893.0,15.3,31444.0,64257,0.09093172728263069,0.01389731858007688
2011,Lassen,ICD-9,1151.0,108.0,9.4,28218.0,34235,0.033620563750547686,0.0031546662772016943
2011,Los Angeles,ICD-9,534319.0,83066.0,15.5,45439.0,9873700,0.05411537721421554,0.008412854350446135
2011,Madera,ICD-9,7137.0,888.0,12.4,29341.0,151685,0.04705145531858786,0.00585423739987474
2011,Marin,ICD-9,12210.0,1414.0,11.6,89206.0,255380,0.04781110501997024,0.005536847051452737
2011,Mariposa,ICD-9,1160.0,144.0,12.4,36741.0,18199,0.06373976592120446,0.007912522666080554
2011,Mendocino,ICD-9,5360.0,653.0,12.2,37658.0,87335,0.06137287456346253,0.007476956546630789
